,spatial_cluster,x_median,y_median
711,711,20461.150390625,1980.7530517578125
712,712,18736.015625,3974.20751953125
713,713,24959.6484375,9518.9052734375
714,714,12357.6875,829.7352294921875
715,715,22465.12890625,7305.85595703125
716,716,12817.1845703125,542.8355712890625
717,717,18968.359375,5343.021484375
718,718,20475.8515625,2506.9423828125
719,719,16643.525390625,2813.669677734375
720,720,17650.09375,7808.4130859375
721,721,17024.44140625,3745.766845703125
722,722,23805.796875,10381.3505859375
723,723,15702.2724609375,1591.6220703125
724,724,20418.078125,4460.7880859375
725,725,14180.701171875,3283.13330078125
726,726,17833.357421875,2887.163330078125
727,727,22189.46484375,10288.2197265625
728,728,20472.484375,3063.814453125
729,729,22020.08203125,7411.30908203125
730,730,22052.931640625,5986.12109375
731,731,25358.685546875,9271.5166015625
732,732,16505.6953125,3890.633056640625
733,733,16171.0146484375,4281.94140625
734,734,20592.19921875,7080.4150390625
735,735,19646.04296875,9458.947265625
736,736,22948.017578125,7926.16845703125
737,737,17297.189453125,5407.3251953125
738,738,17449.90625,4763.470703125
739,739,18359.66796875,7134.1953125
740,740,22503.205078125,10080.8310546875
741,741,18066.509765625,7154.12841796875
742,742,17103.271484375,4628.9951171875
743,743,17754.53515625,2494.609375
744,744,21644.15625,6580.9716796875
745,745,19122.29296875,5368.4716796875
746,746,16099.375,696.8556518554688
747,747,22044.01953125,5486.9755859375
748,748,23155.1875,6707.5361328125
749,749,25382.908203125,8993.52734375
750,750,20504.3984375,4231.70263671875
751,751,24120.423828125,9754.3662109375
752,752,17370.6953125,986.0679931640625
753,753,16482.43359375,854.2643432617188
754,754,18698.57421875,4682.90576171875
755,755,18903.033203125,6907.31396484375
756,756,17069.32421875,2985.07177734375
757,757,15688.328125,6965.0634765625
758,758,14234.140625,7658.2744140625
759,759,15679.9208984375,7519.84716796875
760,760,17778.78515625,1816.042724609375
761,761,23701.642578125,7782.90673828125
762,762,12709.5400390625,3802.834716796875
763,763,14054.6015625,7344.37548828125
764,764,21272.41015625,8961.03125
765,765,23656.45703125,8674.9921875
